iter	MultiClass
0	1.58295027
1	1.563528671
2	1.542650289
3	1.51139913
4	1.49273509
5	1.478479757
6	1.463394308
7	1.44223938
8	1.418301454
9	1.398359966
10	1.373260562
11	1.353572746
12	1.336150004
13	1.324854996
14	1.308678591
15	1.28855736
16	1.270723326
17	1.254678968
18	1.236733355
19	1.222012202
20	1.206639633
21	1.1881718
22	1.171934925
23	1.15715669
24	1.139711699
25	1.129772493
26	1.118432132
27	1.106038209
28	1.092639399
29	1.081893546
30	1.074333805
31	1.06062642
32	1.044852552
33	1.03100129
34	1.020283355
35	1.014001661
36	1.005318038
37	0.9932752749
38	0.9824983832
39	0.9733159071
40	0.9646893209
41	0.9587689131
42	0.9506614248
43	0.9417519564
44	0.9319048588
45	0.9222459009
46	0.9112307873
47	0.90217019
48	0.8931830748
49	0.8804589701
50	0.8718958141
51	0.862235376
52	0.8498553879
53	0.8403352284
54	0.8305112428
55	0.8233628694
56	0.8135576807
57	0.8040930634
58	0.7936837125
59	0.7873603819
60	0.7797666306
61	0.7694898368
62	0.7621895502
63	0.7529258458
64	0.7443481338
65	0.738178184
66	0.7336469086
67	0.7268206513
68	0.7201679108
69	0.7138324471
70	0.7059557039
71	0.6980852021
72	0.6920968306
73	0.6850694797
74	0.6770781596
75	0.6685904675
76	0.6628705499
77	0.6595686051
78	0.6556255551
79	0.6474780028
80	0.6438402905
81	0.6368198485
82	0.6295345638
83	0.6227418013
84	0.6182465027
85	0.6117217227
86	0.6060776189
87	0.5993389266
88	0.5937050084
89	0.5880105502
90	0.5834913358
91	0.5791896036
92	0.572855363
93	0.5645697242
94	0.5590613953
95	0.5538104813
96	0.5480399943
97	0.5424128041
98	0.5365378235
99	0.5320859955
100	0.5262479944
101	0.51986799
102	0.5135654891
103	0.5104819293
104	0.5059713823
105	0.5005465183
106	0.4962578846
107	0.490317991
108	0.4858111514
109	0.4832021522
110	0.4798319822
111	0.4766216304
112	0.4719051487
113	0.4674565879
114	0.4628985777
115	0.4586350978
116	0.4538102466
117	0.4506265731
118	0.4456088494
119	0.4414847775
120	0.436825597
121	0.4331602755
122	0.4295730626
123	0.4276830519
124	0.4238406238
125	0.420019696
126	0.4153480872
127	0.4121918034
128	0.408870269
129	0.4055879822
130	0.4018058559
131	0.3985043593
132	0.3947553469
133	0.392371888
134	0.38937981
135	0.3850319395
136	0.3819145071
137	0.3798765813
138	0.3773542134
139	0.3745071468
140	0.3715367821
141	0.3684925382
142	0.3656279985
143	0.3632764408
144	0.3598384804
145	0.3574427022
146	0.3545197004
147	0.3515683639
148	0.3490498431
149	0.3462872127
150	0.3438173502
151	0.3414993401
152	0.3387082818
153	0.3363646778
154	0.3336558482
155	0.331255872
156	0.3280182717
157	0.3261911917
158	0.3232607037
159	0.3217997978
160	0.3198383503
161	0.3183751604
162	0.3158054249
163	0.3136868721
164	0.3118656851
165	0.3103457505
166	0.3074738321
167	0.3052454243
168	0.3041878559
169	0.3020902726
170	0.3005198893
171	0.2988517037
172	0.2962671394
173	0.2949600013
174	0.2924267052
175	0.2903950486
176	0.2885638109
177	0.286565496
178	0.2841941683
179	0.2820483328
180	0.2802963533
181	0.2788698804
182	0.2770361418
183	0.2753989288
184	0.2733001882
185	0.2717568042
186	0.2699534478
187	0.2688914065
188	0.267297855
189	0.2657432729
190	0.2646632058
191	0.2630845687
192	0.2611058661
193	0.2591880886
194	0.2573205979
195	0.2558659143
196	0.254387946
197	0.2523062051
198	0.2508221703
199	0.2492763175
200	0.2480223791
201	0.2465839513
202	0.2458503151
203	0.2441316996
204	0.2424484356
205	0.2411312754
206	0.2397327344
207	0.2379857551
208	0.2367152828
209	0.2352811799
210	0.2336944958
211	0.2321654476
212	0.2303944298
213	0.2290220185
214	0.2278845033
215	0.2262614438
216	0.2244041169
217	0.2233584725
218	0.2223903186
219	0.2214731554
220	0.2201555557
221	0.2191347442
222	0.2178098316
223	0.2167087588
224	0.215558316
225	0.2143025888
226	0.2135265233
227	0.2121677483
228	0.2111417944
229	0.2101545928
230	0.2091394062
231	0.2078262102
232	0.2065827911
233	0.206085807
234	0.205260057
235	0.2040201845
236	0.2035218177
237	0.2024632917
238	0.2011692924
239	0.2001873904
240	0.1990974527
241	0.1983477104
242	0.1973782752
243	0.1962761579
244	0.195358047
245	0.1939995517
246	0.1927713299
247	0.191752399
248	0.1910056163
249	0.1900664177
250	0.1887814321
251	0.187772499
252	0.1868426386
253	0.185905325
254	0.1853572916
255	0.1841127985
256	0.1831009723
257	0.182033922
258	0.1813089937
259	0.1806260563
260	0.1795861377
261	0.1784412619
262	0.1774586862
263	0.1766302822
264	0.1755797332
265	0.1744695261
266	0.1737325271
267	0.1727829414
268	0.1721069622
269	0.1712303119
270	0.1705926291
271	0.1696174513
272	0.1686977872
273	0.1678339437
274	0.1673336435
275	0.1662290153
276	0.1653251753
277	0.1649203997
278	0.1643324801
