iter	Passed	Remaining
0	1	1189
1	2	790
2	3	658
3	3	595
4	4	524
5	4	482
6	5	439
7	5	411
8	6	398
9	6	385
10	7	377
11	8	412
12	10	485
13	11	480
14	12	477
15	12	471
16	13	473
17	14	460
18	14	455
19	15	445
20	15	437
21	16	428
22	17	427
23	17	418
24	17	411
25	21	478
26	23	496
27	24	494
28	24	488
29	25	479
30	25	466
31	25	459
32	26	451
33	26	446
34	27	451
35	28	444
36	29	446
37	29	442
38	30	438
39	31	434
40	31	429
41	31	424
42	32	419
43	32	413
44	33	408
45	33	403
46	33	398
47	34	393
48	34	389
49	35	385
50	35	380
51	35	376
52	36	373
53	36	370
54	37	367
55	37	364
56	37	361
57	38	357
58	38	354
59	39	351
60	39	347
61	39	344
62	40	342
63	40	339
64	40	336
65	41	333
66	41	330
67	41	327
68	42	324
69	42	321
70	42	318
71	43	316
72	43	313
73	43	311
74	44	308
75	44	305
76	44	302
77	44	300
78	45	300
79	46	299
80	46	298
81	46	296
82	47	297
83	48	296
84	48	293
85	48	291
86	49	289
87	49	288
88	49	286
89	50	284
90	50	283
91	50	281
92	51	279
93	51	277
94	51	276
95	52	274
96	52	272
97	52	271
98	53	269
99	53	267
100	53	265
101	54	264
102	55	265
103	55	264
104	55	262
105	55	260
106	56	259
107	56	257
108	57	259
109	57	258
110	58	256
111	58	255
112	58	253
113	59	252
114	59	251
115	59	250
116	60	249
117	60	247
118	60	246
119	61	245
120	61	243
121	62	242
122	62	241
123	62	240
124	62	239
125	63	237
126	63	236
127	63	235
128	64	234
129	64	233
130	64	232
131	65	230
132	65	229
133	65	228
134	66	227
135	66	226
136	66	225
137	66	223
138	67	222
139	67	221
140	67	220
141	67	219
142	68	218
143	68	217
144	69	216
145	69	215
146	69	214
147	69	213
148	70	212
149	70	211
150	70	210
151	71	209
152	71	208
153	71	207
154	71	206
155	72	205
156	72	204
157	72	203
158	73	202
159	73	201
160	73	200
161	73	199
162	74	198
163	74	197
164	74	196
165	74	195
166	75	195
167	75	194
168	75	193
169	76	192
170	76	191
171	76	190
172	76	189
173	77	189
174	77	188
175	77	187
176	78	186
177	78	185
178	78	185
179	79	184
180	79	183
181	79	182
182	80	182
183	80	181
184	80	180
185	80	180
186	81	179
187	81	178
188	81	177
189	81	176
190	82	176
191	82	175
192	82	174
193	83	174
194	83	173
195	83	172
196	84	172
197	84	171
198	84	170
199	84	169
200	85	169
201	85	168
202	85	167
203	85	166
204	86	166
205	86	165
206	86	164
207	86	163
208	87	163
209	87	162
210	87	161
211	87	160
212	88	160
213	88	159
214	88	158
215	88	158
216	89	157
217	89	156
218	89	156
219	89	155
220	90	154
221	90	154
222	90	153
223	90	152
224	91	152
225	91	151
226	91	150
227	92	150
228	92	150
229	93	149
230	93	149
231	93	149
232	94	148
233	94	147
234	94	147
235	95	146
236	95	146
237	95	145
238	95	144
239	96	144
240	96	143
241	96	142
242	96	142
243	97	141
244	97	141
245	97	140
246	97	140
247	98	139
248	98	138
249	98	138
250	99	137
251	99	137
252	99	136
253	99	136
254	100	135
255	100	135
256	100	134
257	101	133
258	101	133
259	101	132
260	101	132
261	102	131
262	102	131
263	102	130
264	102	130
265	103	129
266	103	128
267	103	128
268	103	127
269	104	127
270	104	126
271	104	126
272	104	125
273	105	124
274	105	124
275	105	123
276	105	123
277	106	122
278	106	122
279	106	121
280	106	121
281	107	120
282	107	120
283	107	119
284	107	119
285	108	118
286	108	118
287	108	117
288	108	117
289	109	116
290	109	116
291	109	115
292	109	115
293	110	114
294	110	114
295	110	113
296	110	113
297	111	112
298	111	112
299	111	111
300	111	111
301	112	110
302	112	110
303	112	109
304	112	109
305	113	108
306	113	108
307	113	107
308	113	107
309	114	106
310	114	106
311	114	105
312	114	105
313	115	104
314	115	104
315	115	103
316	115	103
317	116	102
318	116	102
319	116	102
320	116	101
321	117	101
322	117	100
323	117	100
324	117	99
325	118	99
